PROJET;EMET;PHASE;LOT;NIVEAU;ZONE;TYPE DE DOCUMENT;Numéro de document;INDICE;Libellé du document;Dernier indice;Date dépôt GED;Date de réception papier;Ajouté par;Chemin vers le fichier;Commentaire libre;Réponse commentaire libre;Date demande visaRIVAT Architectes;Retard visaRIVAT Architectes;Date visaRIVAT Architectes;VisaRIVAT Architectes;Visa prévuRIVAT Architectes;Numéro chrono visaRIVAT Architectes;Numéro interne visaRIVAT Architectes;Commentaire visaRIVAT Architectes;Réponse commentaire visaRIVAT Architectes;Date demande visaSCAU;Retard visaSCAU;Date visaSCAU;VisaSCAU;Visa prévuSCAU;Numéro chrono visaSCAU;Numéro interne visaSCAU;Commentaire visaSCAU;Réponse commentaire visaSCAU;Date demande visaJLL INGENIERIE;Retard visaJLL INGENIERIE;Date visaJLL INGENIERIE;VisaJLL INGENIERIE;Visa prévuJLL INGENIERIE;Numéro chrono visaJLL INGENIERIE;Numéro interne visaJLL INGENIERIE;Commentaire visaJLL INGENIERIE;Réponse commentaire visaJLL INGENIERIE;Date demande visaBTP Consultant;Retard visaBTP Consultant;Date visaBTP Consultant;VisaBTP Consultant;Visa prévuBTP Consultant;Numéro chrono visaBTP Consultant;Numéro interne visaBTP Consultant;Commentaire visaBTP Consultant;Réponse commentaire visaBTP Consultant;Date demande visaADVENIO ENV;Retard visaADVENIO ENV;Date visaADVENIO ENV;VisaADVENIO ENV;Visa prévuADVENIO ENV;Numéro chrono visaADVENIO ENV;Numéro interne visaADVENIO ENV;Commentaire visaADVENIO ENV;Réponse commentaire visaADVENIO ENV;Date demande visaADVENIO COM;Retard visaADVENIO COM;Date visaADVENIO COM;VisaADVENIO COM;Visa prévuADVENIO COM;Numéro chrono visaADVENIO COM;Numéro interne visaADVENIO COM;Commentaire visaADVENIO COM;Réponse commentaire visaADVENIO COM;Date demande visa42 CONSULTING;Retard visa42 CONSULTING;Date visa42 CONSULTING;Visa42 CONSULTING;Visa prévu42 CONSULTING;Numéro chrono visa42 CONSULTING;Numéro interne visa42 CONSULTING;Commentaire visa42 CONSULTING;Réponse commentaire visa42 CONSULTING;Date demande visaACOUSTB - EGIS;Retard visaACOUSTB - EGIS;Date visaACOUSTB - EGIS;VisaACOUSTB - EGIS;Visa prévuACOUSTB - EGIS;Numéro chrono visaACOUSTB - EGIS;Numéro interne visaACOUSTB - EGIS;Commentaire visaACOUSTB - EGIS;Réponse commentaire visaACOUSTB - EGIS;Date demande visaARCORA;Retard visaARCORA;Date visaARCORA;VisaARCORA;Visa prévuARCORA;Numéro chrono visaARCORA;Numéro interne visaARCORA;Commentaire visaARCORA;Réponse commentaire visaARCORA;Date demande visaJLL;Retard visaJLL;Date visaJLL;VisaJLL;Visa prévuJLL;Numéro chrono visaJLL;Numéro interne visaJLL;Commentaire visaJLL;Réponse commentaire visaJLL;Date demande visaKHEPHREN;Retard visaKHEPHREN;Date visaKHEPHREN;VisaKHEPHREN;Visa prévuKHEPHREN;Numéro chrono visaKHEPHREN;Numéro interne visaKHEPHREN;Commentaire visaKHEPHREN;Réponse commentaire visaKHEPHREN;Date demande visaLAND;Retard visaLAND;Date visaLAND;VisaLAND;Visa prévuLAND;Numéro chrono visaLAND;Numéro interne visaLAND;Commentaire visaLAND;Réponse commentaire visaLAND;Date demande visaPh. A;Retard visaPh. A;Date visaPh. A;VisaPh. A;Visa prévuPh. A;Numéro chrono visaPh. A;Numéro interne visaPh. A;Commentaire visaPh. A;Réponse commentaire visaPh. A;Date demande visaSOCOTEC;Retard visaSOCOTEC;Date visaSOCOTEC;VisaSOCOTEC;Visa prévuSOCOTEC;Numéro chrono visaSOCOTEC;Numéro interne visaSOCOTEC;Commentaire visaSOCOTEC;Réponse commentaire visaSOCOTEC;Date demande visaANTEA;Retard visaANTEA;Date visaANTEA;VisaANTEA;Visa prévuANTEA;Numéro chrono visaANTEA;Numéro interne visaANTEA;Commentaire visaANTEA;Réponse commentaire visaANTEA;Date demande visaMOVVEO;Retard visaMOVVEO;Date visaMOVVEO;VisaMOVVEO;Visa prévuMOVVEO;Numéro chrono visaMOVVEO;Numéro interne visaMOVVEO;Commentaire visaMOVVEO;Réponse commentaire visaMOVVEO;Column162;Column163;Column164;Column165;Column166
MDLF;DPR;EXE;SER;TNX;TTZ;PLN;2060;D;2060 - Position et dimensions des grilles Ind C.pdf;DI;04/03/2024;;Clara BOUCHUT;/04 - DOCUMENTS D'EXECUTION/Lot 16 - Serrurerie - Métallerie/02 - Pieces Graphiques;;;04/03/2024;-32;19/04/2024;VAO;;2296;3;"Alina TRYBULSKI :
•	Sous réserve de la synthèse générale
•	Sous réserve de validation de JLLi concernant le type de grilles, positions et dimensions (Validation de cette conformité hors mission Rivat Moex)
•	Sous réserve de l'avis du BCT
•	Sous réserve des remarques architecte
•	Respecter les teintes et finitions à confirmer sur visa architecte. Les teintes des ventelles et cadres ne sont pas indiqués sur les plans
•	Observation: Grille G17 mise en œuvre aujourd'hui sans proposition préalable d’incorporation dans le calepinage des façades. 
•	Valider position des grilles autour de l’édicule béton au RDC ; G14, 15, 16 avec architecte.";;04/03/2024;;07/03/2024;VAO;;2422;;"Syeva ROEST :
Les dimensions de hauteur et largeur de la grille G 17 semblent inversées. Voir capture de la maquette TCE
Hauteur: 50cm au lieu de 80cm
Largeur: 80cm au lieu de 50cm";"Clara BOUCHUT :
Il faut que vous alliez voir sur site, la grille a bien une hauteur de 80 cm et une largeur de 50.
David QUERE :
Sauf erreur de notre part, nous n'avons pas reçu de plan d'EXE sur cette façade, nous n'avons pas donné notre avis sur cette grille, son implantation ou son alignement.
 fr :  
314-2024.03.11 ABSENCE DE PLAN EXE PIERRE.JPG";;;;;;;;;;04/03/2024;;06/03/2024;FAV;;2040;;;;04/03/2024;-23;10/04/2024;HM;;2088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;DPR;EXE;SER;TNX;TTZ;PLN;2060;C;2060 - Position et dimensions des grilles Ind C.pdf;;29/01/2024;;Clara BOUCHUT;/04 - DOCUMENTS D'EXECUTION/Lot 16 - Serrurerie - Métallerie/02 - Pieces Graphiques;;;29/01/2024;-12;23/02/2024;VAO;;2182;;"Romain MATHEY :
Voir remarques Architecte";;29/01/2024;;05/02/2024;VAO;;2326;;"Syeva ROEST :
Sous réserve validation synthèse technique surface libre minimales à respecter";;;;;;;;;;;29/01/2024;;;;12/02/2024;;;;;29/01/2024;;12/02/2024;HM;;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/01/2024;;;;12/02/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;DPR;EXE;SSP;TNX;TTZ;DAF;7002;B;Clous podotactiles.pdf;DI;04/03/2024;;Clara BOUCHUT;/04 - DOCUMENTS D'EXECUTION/Lot 18 - Sols souples/03 - Fiche Technique Produit;;;04/03/2024;-18;05/04/2024;VSO;;2294;;;;04/03/2024;;11/03/2024;VSO;;2436;;;;;;;;;;;;;04/03/2024;;06/03/2024;FAV;;2034;;;;04/03/2024;-24;10/04/2024;HM;;2089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;DPR;EXE;SSP;TNX;TTZ;DAF;7002;A;Clous podotactiles.pdf;;24/04/2023;;Clara BOUCHUT;/04 - DOCUMENTS D'EXECUTION/Lot 18 - Sols souples/03 - Fiche Technique Produit;;;24/04/2023;;02/05/2023;VAO;;637;;"Romain MATHEY :
Sous reserve validation des Echantillons CEA par la MOA/SCAU.";;24/04/2023;;28/04/2023;VSO;;549;;"David QUERE :
retenus sur échantillon. a présenter à la MOA";;24/04/2023;;24/04/2023;PI;;;;;;24/04/2023;-37;13/06/2023;FAV;;625;;;;24/04/2023;-23;31/05/2023;HM;;620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;MC;DOE;SER;TNX;TTZ;DOC;1602;A;DOE Serrurerie Métal Création.pdf;DI;04/03/2024;;Clara BOUCHUT;/07 - DOE/Lot 16 - Serrurerie - Métallerie;;;04/03/2024;;;-39;18/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/03/2024;;04/03/2024;PI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/03/2024;;;-39;lundi 18 mars 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;PHI;EXE;CFO;TNX;TTZ;NDC;15;A;Analyse fonctionnelle éclairage.pdf;;27/06/2023;;Marwan DAGHER;/04 - DOCUMENTS D'EXECUTION/Lot 10 - CFO/01 - Pieces Ecrite;;;27/06/2023;;10/07/2023;VAO;;1116;;"Romain MATHEY :
Validation sous réserve JLLi 
sous réserve respect des labels et performances techniques, 
sous réserve visa PHA.";;;;;;;;;;;27/06/2023;-1;12/07/2023;VSO;;391;;;;27/06/2023;-114;02/11/2023;HM;;1343;;;;27/06/2023;-31;11/08/2023;VSO;;1178;;;;;;;;;;;;;27/06/2023;-10;21/07/2023;HM;;137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27/06/2023;;;;11/07/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;SC;EXE;GOE;SS1;Z3;COU;1006;M;Niveau Sous sol 1 - Zone 03 - Coupes.pdf;DI;02/03/2024;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;13/03/2024;;;-30;27/03/2024;;;;;13/03/2024;;22/03/2024;VSO;;2477;;;;;;;;;;;;;13/03/2024;;;-30;27/03/2024;;;;;13/03/2024;-15;11/04/2024;HM;;2154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/03/2024;;;-30;27/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
02/03/2024
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z3;COU;1006;L;Niveau Sous sol 1 - Zone 03 - Coupes.pdf;;23/01/2024;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;05/02/2024;;;;19/02/2024;;;;;05/02/2024;;05/02/2024;VSO;;2331;;"Syeva ROEST :
A noter pour synthèse : épaisseur de substrat végétation de 30cm";;;;;;;;;;;05/02/2024;-17;06/03/2024;FAV;;2056;;;;05/02/2024;;;;19/02/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/02/2024;-8;26/02/2024;VSO;;769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
23/01/2024
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z3;COU;1006;K;Niveau Sous sol 1 - Zone 03 - Coupes.pdf;;08/12/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;14/12/2023;-30;26/01/2024;VAO;;2008;;"Romain MATHEY :
Sous réserve validation KHEPHREN";;14/12/2023;-11;08/01/2024;VSO;;2142;;;;;;;;;;;;;14/12/2023;-28;24/01/2024;FAV;;1944;;;;14/12/2023;;15/12/2023;HM;;1792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/12/2023;-33;29/01/2024;VSO;;721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
08/12/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z3;COU;1006;J;Niveau Sous sol 1 - Zone 03 - Coupes.pdf;;07/08/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;10/08/2023;-4;28/08/2023;VSO;;1275;;;;10/08/2023;;22/08/2023;VSO;;1256;;;;;;;;;;;;;10/08/2023;-4;28/08/2023;FAV;;1147;;;;10/08/2023;;11/08/2023;HM;;1147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/08/2023;-4;28/08/2023;VSO;;577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
07/08/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z3;COU;1006;H;Niveau Sous sol 1 - Zone 03 - Coupes.pdf;;31/07/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;02/08/2023;;;;16/08/2023;;;;;02/08/2023;;;;16/08/2023;;;;;;;;;;;;;;02/08/2023;;;;16/08/2023;;;;;02/08/2023;;07/08/2023;HM;;1020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02/08/2023;;;;16/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
31/07/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z3;COU;1006;F;Niveau Sous sol 1 - Zone 03 - Coupes.pdf;;13/07/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;26/07/2023;;;;09/08/2023;;;;;26/07/2023;;27/07/2023;VSO;;1145;;;;;;;;;;;;;26/07/2023;;27/07/2023;FAV;;918;;;;26/07/2023;;;;09/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26/07/2023;;;;09/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
13/07/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z3;COU;1006;E;Niveau Sous sol 1 - Zone 03 - Coupes.pdf;;04/05/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;09/05/2023;;22/05/2023;VAOB;;810;230522_MDLF_LOT03_VISA16;"Romain MATHEY :
voir fiche visa";;09/05/2023;-13;05/06/2023;VAOB;;680;VISA SCAU GOE 111;"Syeva ROEST :
Voir fiche visa";;;;;;;;;;;09/05/2023;;23/05/2023;FAV;;557;;;;09/05/2023;-8;31/05/2023;HM;;719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09/05/2023;-1;24/05/2023;VAO;;428;;"FranckyStephenson Veloari :
Réservation coupe S1.11: justifier la reprise structurelle au droit du voile et linteau.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
04/05/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z3;COU;1006;D;Niveau Sous sol 1 - Zone 03 - Coupes.pdf;;13/04/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;14/04/2023;;;;28/04/2023;;;;;14/04/2023;;;;28/04/2023;;;;;;;;;;;;;;14/04/2023;;;;28/04/2023;;;;;14/04/2023;;18/04/2023;HM;;615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/04/2023;;;;28/04/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
13/04/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z3;COU;1006;C;Niveau Sous sol 1 - Zone 03 - Coupes.pdf;;02/01/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;03/01/2023;-51;08/03/2023;VAO;;422;2300306_MDLF_LOT03_VISA05;"Romain MATHEY :
voir fiche visa";;03/01/2023;-28;14/02/2023;VAO;;80;N° GO/023;"David QUERE :
Remarque générale: recharger pour devers max 2% dans tous les cas de différence de niveaux. 

Dans les cas contraignants, ok pour une pente maximum de 4%

Veuillez attendre la transmission de la FTM car pas de maçonnerie à cet emplacement. FTM en cours. Voile CF1h déplacé en deux endroits. Voir plan joint au visa

Aucun isolant possible en sous face des poutres+moisage pour hauteur de passage sous obstacle, respecter la NFP parking et valider par le bureau de contrôle";;;;;;;;;;;03/01/2023;-15;31/01/2023;FAV;;77;;;;03/01/2023;-17;03/02/2023;HM;;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/01/2023;-18;03/02/2023;VSO;;77;;"FranckyStephenson Veloari :
Nota: sous-réserve du visa du plan de coffrage du niveau concerné";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
02/01/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z3;COU;1006;B;Coupes - zone 1 - niveau ss1.pdf;;22/12/2022;;Gregory ATTELEYN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;22/12/2022;;;;05/01/2023;;;;;22/12/2022;;;;05/01/2023;;;;;;;;;;;;;;22/12/2022;;;;05/01/2023;;;;;22/12/2022;;;;05/01/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22/12/2022;;;;05/01/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;SC;EXE;GOE;SS1;Z3;COU;1006;A;Coupes - zone 1 - niveau ss1.pdf;;22/12/2022;;Gregory ATTELEYN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;22/12/2022;;;;05/01/2023;;;;;22/12/2022;;;;05/01/2023;;;;;;;;;;;;;;22/12/2022;;;;05/01/2023;;;;;22/12/2022;;;;05/01/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22/12/2022;;;;05/01/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;SC;EXE;GOE;SS1;Z2;COU;1005;O;Niveau Sous sol 1 - Zone 02 - Coupes.pdf;DI;02/03/2024;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;13/03/2024;;;-30;27/03/2024;;;;;13/03/2024;;22/03/2024;VAO;;2476;;"Syeva ROEST :
Coupes validées mais bien s'assurer sur les coupes S1.15 et S1.51 que la distance des réservations aux voiles ou maçonneries perpendiculaires permettent d'éviter un impact entre GOE et poignées de portes";;;;;;;;;;;13/03/2024;;;-30;27/03/2024;;;;;13/03/2024;-15;11/04/2024;HM;;2153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/03/2024;;;-30;27/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
02/03/2024
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z2;COU;1005;M;Niveau Sous sol 1 - Zone 02 - Coupes.pdf;;23/01/2024;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;20/02/2024;;;;05/03/2024;;;;;20/02/2024;;26/02/2024;VAO;;2397;;"Syeva ROEST :
Coupe S1.15 : Bien faire la synthèse avec le plan de la PM_S1_20.
Selon le dernier indice, la réservation GOE devrait être de 110cm";;;;;;;;;;;20/02/2024;-2;06/03/2024;FAV;;2057;;;;20/02/2024;;;;05/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20/02/2024;;;;05/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
23/01/2024
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z2;COU;1005;L;Niveau Sous sol 1 - Zone 02 - Coupes.pdf;;08/12/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;14/12/2023;-30;26/01/2024;VAO;;2003;;"Romain MATHEY :
Sous réserve commentaire architecte";;14/12/2023;-11;08/01/2024;VAO;;2143;;"David QUERE :
Voir captures ci-joint";;;;;;;;;;;14/12/2023;-28;24/01/2024;FAV;;1943;;;;14/12/2023;;15/12/2023;HM;;1794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/01/2024;VSO;;720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
08/12/2023
DP.r GO -> VSO
Berangere LITTEE :";"EXE
14/12/2023
KHEPHREN -> VSO
FranckyStephenson Veloari :";;;
MDLF;SC;EXE;GOE;SS1;Z2;COU;1005;K;Niveau Sous sol 1 - Zone 02 - Coupes.pdf;;17/10/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;25/10/2023;-21;29/11/2023;VSO;;1939;;;;25/10/2023;-1;09/11/2023;VSO;;1736;;;;;;;;;;;;;25/10/2023;-13;21/11/2023;FAV;;1487;;;;25/10/2023;-13;21/11/2023;HM;;1470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25/10/2023;;;;08/11/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
17/10/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z2;COU;1005;J;Niveau Sous sol 1 - Zone 02 - Coupes.pdf;;07/08/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;10/08/2023;-4;28/08/2023;VSO;;1277;;;;10/08/2023;;22/08/2023;VSO;;1255;;;;;;;;;;;;;10/08/2023;-4;28/08/2023;FAV;;1146;;;;10/08/2023;;11/08/2023;HM;;1171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/08/2023;-4;28/08/2023;VSO;;576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
07/08/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z2;COU;1005;I;Niveau Sous sol 1 - Zone 02 - Coupes.pdf;;31/07/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;02/08/2023;;;;16/08/2023;;;;;02/08/2023;;;;16/08/2023;;;;;;;;;;;;;;02/08/2023;;;;16/08/2023;;;;;02/08/2023;;07/08/2023;HM;;1021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02/08/2023;;;;16/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
31/07/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z2;COU;1005;H;Niveau Sous sol 1 - Zone 02 - Coupes.pdf;;13/07/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;26/07/2023;;;;09/08/2023;;;;;26/07/2023;;27/07/2023;VAOB;;1144;;"Syeva ROEST :
Voir fiche visa";;;;;;;;;;;26/07/2023;;27/07/2023;FAV;;916;;;;26/07/2023;;;;09/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26/07/2023;;;;09/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
13/07/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z2;COU;1005;G;Niveau Sous sol 1 - Zone 02 - Coupes.pdf;;09/06/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;16/06/2023;-11;10/07/2023;VAOB;;1156;;"Romain MATHEY :
Sous réserve validation BCT 
Sous réserve validation KHEPHREN
Sous réserve validation architecte
voir remarques sur précèdent visa";;16/06/2023;-10;10/07/2023;VAOB;;981;VISA SCAU GOE 143;"Syeva ROEST :
Voir fiche visa";;;;;;;;;;;16/06/2023;;;;30/06/2023;;;;;16/06/2023;-11;10/07/2023;HM;;893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16/06/2023;;;;30/06/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
09/06/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
MDLF;SC;EXE;GOE;SS1;Z2;COU;1005;F;Niveau Sous sol 1 - Zone 02 - Coupes.pdf;;05/06/2023;;Vanhung TRAN;/04 - DOCUMENTS D'EXECUTION/Lot 03 - Gros-œuvre/02 - Pieces Graphiques/Coupes;;;07/06/2023;;12/06/2023;VAO;;965;230612_MDLF_LOT03_VISA19;"Romain MATHEY :
voir fiche visa";;07/06/2023;;;;21/06/2023;;;;;;;;;;;;;;07/06/2023;;;;21/06/2023;;;;;07/06/2023;;09/06/2023;HM;;839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07/06/2023;;;;21/06/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SAS
05/06/2023
DP.r GO -> VSO
Berangere LITTEE :";;;;
