Date dépôt GED;LOT;desc_lot;ZONE;NIVEAU;TYPE DE DOCUMENT;Categ_Docs;INDICE;Libellé du document;Dernier indice;Nombre  d'indice;Durée _versi_type_doc
29/03/2024;3;Façades;TZN;R+4;PLN;docs graphiques;A;Plan Générale Bandeau Coursive Niveau R+4 - 1.pdf;DI;;
29/03/2024;3;Façades;TZN;R+4;PLN;docs graphiques;A;Plan Générale Bandeau Coursive Niveau R+4.pdf;DI;;
29/03/2024;3;Façades;TZN;R+3;PLN;docs graphiques;A;Plan Générale Bandeau Coursive Niveau R+3 - 2.pdf;DI;;
28/03/2024;3;Façades;TZN;TNX;DET;docs graphiques;A;T9 - Bardage induit sur plaque- Details verticaux et horizontaux.pdf;DI;;
28/03/2024;3;Façades;TZN;R+7;PLN;docs graphiques;C;Plan generale Niveau R+7.pdf;DI;;
23/08/2023;3;Façades;TZN;R+7;PLN;docs graphiques;B;Plan generale Niveau R+7.pdf;;;
31/03/2023;3;Façades;TZN;R+7;PLN;docs graphiques;A;Plan generale Niveau R+7.pdf;;;
28/03/2024;3;Façades;TZN;R+6;PLN;docs graphiques;D;Plan generale Niveau R+6.pdf;DI;;
10/11/2023;3;Façades;TZN;R+6;PLN;docs graphiques;C;Plan generale Niveau R+6.pdf;;;
23/08/2023;3;Façades;TZN;R+6;PLN;docs graphiques;B;Plan generale Niveau R+6.pdf;;;
31/03/2023;3;Façades;TZN;R+6;PLN;docs graphiques;A;Plan generale Niveau R+6.pdf;;;
28/03/2024;3;Façades;TZN;R+5;PLN;docs graphiques;D;Plan generale Niveau R+5.pdf;DI;;
10/11/2023;3;Façades;TZN;R+5;PLN;docs graphiques;C;Plan generale Niveau R+5.pdf;;;
23/08/2023;3;Façades;TZN;R+5;PLN;docs graphiques;B;Plan generale Niveau R+5.pdf;;;
31/03/2023;3;Façades;TZN;R+5;PLN;docs graphiques;A;Plan generale Niveau R+5.pdf;;;
28/03/2024;3;Façades;TZN;R+4;PLN;docs graphiques;D;Plan generale Niveau R+4.pdf;DI;;
10/11/2023;3;Façades;TZN;R+4;PLN;docs graphiques;C;Plan generale Niveau R+4.pdf;;;
23/08/2023;3;Façades;TZN;R+4;PLN;docs graphiques;B;Plan generale Niveau R+4.pdf;;;
31/03/2023;3;Façades;TZN;R+4;PLN;docs graphiques;A;Plan generale Niveau R+4.pdf;;;
28/03/2024;3;Façades;TZN;R+3;PLN;docs graphiques;D;Plan generale Niveau R+3.pdf;DI;;
10/11/2023;3;Façades;TZN;R+3;PLN;docs graphiques;C;Plan generale Niveau R+3.pdf;;;
23/08/2023;3;Façades;TZN;R+3;PLN;docs graphiques;B;Plan generale Niveau R+3.pdf;;;
31/03/2023;3;Façades;TZN;R+3;PLN;docs graphiques;A;Plan generale Niveau R+3.pdf;;;
28/03/2024;3;Façades;TZN;R+2;PLN;docs graphiques;D;Plan generale Niveau R+2.pdf;DI;;
10/11/2023;3;Façades;TZN;R+2;PLN;docs graphiques;C;Plan generale Niveau R+2.pdf;;;
23/08/2023;3;Façades;TZN;R+2;PLN;docs graphiques;B;Plan generale Niveau R+2.pdf;;;
31/03/2023;3;Façades;TZN;R+2;PLN;docs graphiques;A;Plan generale Niveau R+2.pdf;;;
28/03/2024;3;Façades;TZN;R+6;PLN;docs graphiques;A;Plan Générale Bandeau - Coursive Niveau R+6 - 1.pdf;DI;;
28/03/2024;3;Façades;TZN;R+6;PLN;docs graphiques;A;Plan Générale Bandeau-Coursive Niveau R+6.pdf;DI;;
28/03/2024;3;Façades;TZN;R+5;PLN;docs graphiques;A;Plan Générale Bandeau - Coursive Niveau R+5 - 2.pdf;DI;;
28/03/2024;3;Façades;TZN;R+5;PLN;docs graphiques;A;Plan Générale Bandeau - Coursive Niveau R+5 - 1.pdf;DI;;
28/03/2024;3;Façades;TZN;R+5;PLN;docs graphiques;A;Plan Générale Bandeau - Coursive Niveau R+5.pdf;DI;;
28/03/2024;3;Façades;TZN;R+3;PLN;docs graphiques;A;Plan Générale Bandeau Coursive Niveau R+3 - 1.pdf;DI;;
28/03/2024;3;Façades;TZN;R+3;PLN;docs graphiques;A;Plan Générale Bandeau Coursive Niveau R+3.pdf;DI;;
28/03/2024;3;Façades;TZN;R+2;PLN;docs graphiques;A;Plan Générale Bandeau Coursive Niveau R+2 - 2.pdf;DI;;
28/03/2024;3;Façades;TZN;R+2;PLN;docs graphiques;A;Plan Générale Bandeau Coursive Niveau R+2 - 1.pdf;DI;;
28/03/2024;3;Façades;TZN;R+2;PLN;docs graphiques;A;Plan Générale Bandeau Coursive Niveau R+2.pdf;DI;;
28/03/2024;3;Façades;TZN;TNX;DET;docs graphiques;C;T6 - Verriere de l'atrium- Details verticaux et horizontaux.pdf;DI;;
24/11/2023;3;Façades;TZN;TNX;DET;docs graphiques;B;T6 - Verriere de l'atrium- Details verticaux et horizontaux.pdf;;;
29/09/2023;3;Façades;TZN;TNX;DET;docs graphiques;A;T6 - Verriere de l'atrium- Details verticaux et horizontaux.pdf;;;
27/03/2024;3;Façades;TZN;TNX;DET;docs graphiques;D;T2A-T2B - Facade patio - Details verticaux et horizontaux.pdf;DI;;
06/03/2024;3;Façades;TZN;TNX;DET;docs graphiques;C;T2A-T2B - Facade patio - Details verticaux et horizontaux.pdf;;;
23/11/2023;3;Façades;TZN;TNX;DET;docs graphiques;B;T2A-T2B - Facade patio - Details verticaux et horizontaux.pdf;;;
21/07/2023;3;Façades;TZN;TNX;DET;docs graphiques;A;T2A-T2B - Facade patio - Details verticaux et horizontaux.pdf;;;
25/03/2024;3;Façades;TZN;TNX;ELV;docs graphiques;C;Elevation 05 - Sud Ouest (Rue du Bateu-Lavoir).pdf;DI;;
27/07/2023;3;Façades;TZN;TNX;ELV;docs graphiques;B;Elevation 05 - Sud Ouest (Rue du Bateu-Lavoir).pdf;;;
02/05/2023;3;Façades;TZN;TNX;ELV;docs graphiques;A;Elevation 05 - Sud Ouest (Rue du Bateu-Lavoir).pdf;;;
25/03/2024;3;Façades;TZN;TNX;ELV;docs graphiques;C;Elevation 03 - Nord Est (Rue Michel Jazy).pdf;DI;;
27/07/2023;3;Façades;TZN;TNX;ELV;docs graphiques;B;Elevation 03 - Nord Est (Rue Michel Jazy).pdf;;;
02/05/2023;3;Façades;TZN;TNX;ELV;docs graphiques;A;Elevation 03 - Nord Est (Rue Michel Jazy).pdf;;;
25/03/2024;3;Façades;TZN;TNX;ELV;docs graphiques;D;Elevation 02 - Nord Cour intérieure (Place du Spectacle).pdf;DI;;
08/03/2024;3;Façades;TZN;TNX;ELV;docs graphiques;C;Elevation 02 - Nord Cour intérieure (Place du Spectacle).pdf;;;
27/07/2023;3;Façades;TZN;TNX;ELV;docs graphiques;B;Elevation 02 - Nord Cour intérieure (Place du Spectacle).pdf;;;
02/05/2023;3;Façades;TZN;TNX;ELV;docs graphiques;A;Elevation 02 - Nord Cour intérieure (Place du Spectacle).pdf;;;
25/03/2024;3;Façades;TZN;TNX;ELV;docs graphiques;D;Elevation 01 - Nord (Place du Spectacle).pdf;DI;;
07/03/2024;3;Façades;TZN;TNX;ELV;docs graphiques;C;Elevation 01 - Nord (Place du Spectacle).pdf;;;
27/07/2023;3;Façades;TZN;TNX;ELV;docs graphiques;B;Elevation 01 - Nord (Place du Spectacle).pdf;;;
02/05/2023;3;Façades;TZN;TNX;ELV;docs graphiques;A;Elevation 01 - Nord (Place du Spectacle).pdf;;;
25/03/2024;3;Façades;TZN;RDC;PLN;docs graphiques;F;Plan generale RDC.pdf;DI;;
07/02/2024;3;Façades;TZN;RDC;PLN;docs graphiques;D;Plan generale RDC.pdf;;;
10/11/2023;3;Façades;TZN;RDC;PLN;docs graphiques;C;Plan generale RDC.pdf;;;
01/09/2023;3;Façades;TZN;RDC;PLN;docs graphiques;B;Plan generale RDC.pdf;;;
31/03/2023;3;Façades;TZN;RDC;PLN;docs graphiques;A;Plan generale RDC.pdf;;;
25/03/2024;3;Façades;TZN;R+1;PLN;docs graphiques;E;Plan generale Niveau R+1.pdf;DI;;
07/02/2024;3;Façades;TZN;R+1;PLN;docs graphiques;D;Plan generale Niveau R+1.pdf;;;
10/11/2023;3;Façades;TZN;R+1;PLN;docs graphiques;C;Plan generale Niveau R+1.pdf;;;
01/09/2023;3;Façades;TZN;R+1;PLN;docs graphiques;B;Plan generale Niveau R+1.pdf;;;
31/03/2023;3;Façades;TZN;R+1;PLN;docs graphiques;A;Plan generale Niveau R+1.pdf;;;
25/03/2024;3;Façades;TZN;TNX;DAF;docs écris;A;Fiche techinique grilles d’aération T10.pdf;DI;;
22/03/2024;3;Façades;TZN;R+8;PRE;docs graphiques;C;Reservation Charpente Niveau R+8.pdf;DI;;
06/03/2024;3;Façades;TZN;R+8;PRE;docs graphiques;B;Reservation Charpente Niveau R+8.pdf;;;
21/03/2024;3;Façades;TZN;TNX;NDC;docs écris;B;NDC Statique T3C.pdf;DI;;
03/01/2024;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Statique T3C.pdf;;;
19/03/2024;3;Façades;TZN;TNX;NDC;docs écris;B;Tableau performances thermiques façades.pdf;DI;;
19/02/2024;3;Façades;TZN;TNX;NDC;docs écris;A;Tableau performances thermiques façades.pdf;;;
19/03/2024;3;Façades;TZN;TNX;DAF;docs écris;C;Laine minerale.pdf;DI;;
21/02/2024;3;Façades;TZN;TNX;DAF;docs écris;B;Laine minerale.pdf;;;
25/05/2023;3;Façades;TZN;TNX;DAF;docs écris;A;Laine minerale.pdf;;;
19/03/2024;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Thermique T4A-T4B - Facade serres.pdf;DI;;
19/03/2024;3;Façades;TZN;R+6;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+6 - 2.pdf;DI;;
19/03/2024;3;Façades;TZN;R+6;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+6 - 1.pdf;DI;;
19/03/2024;3;Façades;TZN;R+6;PLN;docs graphiques;A;Plan général sous faces cassettes métalliques R+6.pdf;DI;;
19/03/2024;3;Façades;TZN;R+5;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+5 - 2.pdf;DI;;
19/03/2024;3;Façades;TZN;R+5;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+5 - 1.pdf;DI;;
19/03/2024;3;Façades;TZN;R+5;PLN;docs graphiques;A;Plan général sous faces cassettes métalliques R+5.pdf;DI;;
19/03/2024;3;Façades;TZN;R+4;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+4 - 2.pdf;DI;;
19/03/2024;3;Façades;TZN;R+4;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+4 - 1.pdf;DI;;
19/03/2024;3;Façades;TZN;R+4;PLN;docs graphiques;A;Plan général sous faces cassettes métalliques R+4.pdf;DI;;
19/03/2024;3;Façades;TZN;R+3;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+3 - 2.pdf;DI;;
19/03/2024;3;Façades;TZN;R+3;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+3- 1.pdf;DI;;
19/03/2024;3;Façades;TZN;R+3;PLN;docs graphiques;A;Plan général sous faces cassettes métalliques R+3.pdf;DI;;
19/03/2024;3;Façades;TZN;R+2;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+2 - 2.pdf;DI;;
19/03/2024;3;Façades;TZN;R+2;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+2 - 1.pdf;DI;;
19/03/2024;3;Façades;TZN;R+2;PLN;docs graphiques;A;Plan général sous faces cassettes métalliques R+2.pdf;DI;;
18/03/2024;3;Façades;TZN;R+1;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+1 - 2.pdf;DI;;
18/03/2024;3;Façades;TZN;R+1;PLN;docs graphiques;A;Plan détallé sous faces cassettes métalliques R+1 - 1.pdf;DI;;
18/03/2024;3;Façades;TZN;R+1;PLN;docs graphiques;A;Plan général sous faces cassettes métalliques R+1.pdf;DI;;
14/03/2024;3;Façades;TZN;TNX;PSY;docs graphiques;B;Carnet de système.pdf;DI;;
28/09/2023;3;Façades;TZN;TNX;PSY;docs graphiques;A;Carnet de système.pdf;;;
14/03/2024;3;Façades;TZN;TNX;DET;docs graphiques;B;T3B - Facade attique roof top (L7-L8)- Details verticaux et horizontaux.pdf;DI;;
23/11/2023;3;Façades;TZN;TNX;DET;docs graphiques;A;T3B - Facade attique roof top (L7-L8)- Details verticaux et horizontaux.pdf;;;
12/03/2024;3;Façades;TZN;TNX;DET;docs graphiques;B;T3A - Facade socle- Details verticaux et horizontaux.pdf;DI;;
23/11/2023;3;Façades;TZN;TNX;DET;docs graphiques;A;T3A - Facade socle- Details verticaux et horizontaux.pdf;;;
08/03/2024;3;Façades;TZN;TNX;CPE;docs graphiques;C;Coupe B-B.pdf;DI;;
23/08/2023;3;Façades;TZN;TNX;CPE;docs graphiques;B;Coupe B-B.pdf;;;
14/04/2023;3;Façades;TZN;TNX;CPE;docs graphiques;A;Coupe B-B.pdf;;;
08/03/2024;3;Façades;TZN;TNX;CPE;docs graphiques;C;Coupe A-A.pdf;DI;;
23/08/2023;3;Façades;TZN;TNX;CPE;docs graphiques;B;Coupe A-A.pdf;;;
14/04/2023;3;Façades;TZN;TNX;CPE;docs graphiques;A;Coupe A-A.pdf;;;
07/03/2024;3;Façades;TZN;TNX;PSY;docs graphiques;F;T1A-T1B - Cadre alluminium bloc vision et opaque - Carnet plans directeurs.pdf;DI;;
02/11/2023;3;Façades;TZN;TNX;PSY;docs graphiques;E;T1A-T1B - Cadre alluminium bloc vision et opaque - Carnet plans directeurs.pdf;;;
03/08/2023;3;Façades;TZN;TNX;PSY;docs graphiques;D;T1A-T1B - Cadre alluminium bloc vision et opaque - Carnet plans directeurs.pdf;;;
22/05/2023;3;Façades;TZN;TNX;PSY;docs graphiques;C;T1A-T1B - Cadre alluminium bloc vision et opaque - Carnet plans directeurs.pdf;;;
06/04/2023;3;Façades;TZN;TNX;PSY;docs graphiques;A;T1A-T1B - Cadre alluminium bloc vision et opaque - Carnet plans directeurs.pdf;;;
07/03/2024;3;Façades;TZN;TNX;PSY;docs graphiques;D;T2A-T2B - Facade patio - Carnet plans directeurs.pdf;DI;;
23/11/2023;3;Façades;TZN;TNX;PSY;docs graphiques;C;T2A-T2B - Facade patio - Carnet plans directeurs.pdf;;;
05/06/2023;3;Façades;TZN;TNX;PSY;docs graphiques;B;T2A-T2B - Facade patio - Carnet plans directeurs.pdf;;;
23/05/2023;3;Façades;TZN;TNX;PSY;docs graphiques;A;T2A-T2B - Facade patio - Carnet plans directeurs.pdf;;;
06/03/2024;3;Façades;TZN;TNX;DET;docs graphiques;C;T1A-T1B - Cadre alluminium bloc vision et opaque - Details verticaux et horizontaux.pdf;DI;;
08/11/2023;3;Façades;TZN;TNX;DET;docs graphiques;B;T1A-T1B - Cadre alluminium bloc vision et opaque - Details verticaux et horizontaux.pdf;;;
31/07/2023;3;Façades;TZN;TNX;DET;docs graphiques;A;T1A-T1B - Cadre alluminium bloc vision et opaque - Details verticaux et horizontaux.pdf;;;
05/03/2024;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Statique Vitrage T6 - Verriere de l'atrium.pdf;DI;;
04/03/2024;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Thermique T5 - Halle d'entree.pdf;DI;;
04/03/2024;3;Façades;TZN;TNX;NDC;docs écris;C;NDC Statique T5 - Halle d'entree.pdf;DI;;
26/10/2023;3;Façades;TZN;TNX;NDC;docs écris;B;NDC Statique T5 - Halle d'entree.pdf;;;
05/09/2023;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Statique T5 - Halle d'entree.pdf;;;
04/03/2024;3;Façades;TZN;R+8;PRE;docs graphiques;C;Reservation Charpente Niveau R+8.pdf;DI;;
28/12/2023;3;Façades;TZN;R+8;PRE;docs graphiques;B;Reservation Charpente Niveau R+8.pdf;;;
28/11/2023;3;Façades;TZN;R+8;PRE;docs graphiques;A;Reservation Charpente Niveau R+8.pdf;;;
04/03/2024;3;Façades;TZN;R+8;PRE;docs graphiques;C;Reservation Charpente Niveau R+8.pdf;DI;;
28/12/2023;3;Façades;TZN;R+8;PRE;docs graphiques;B;Reservation Charpente Niveau R+8.pdf;;;
28/11/2023;3;Façades;TZN;R+8;PRE;docs graphiques;A;Reservation Charpente Niveau R+8.pdf;;;
04/03/2024;3;Façades;TZN;R+7;PLN;docs graphiques;B;Nacelle de Nettoyage - Implantation rails d'acrotère sur Longrine Béton.pdf;DI;;
16/01/2024;3;Façades;TZN;R+7;PLN;docs graphiques;A;Nacelle de Nettoyage - Implantation rails d'acrotère sur Longrine Béton.pdf;;;
29/02/2024;3;Façades;TZN;TNX;DAF;docs écris;B;Fiche technique contact de feuillure.pdf;DI;;
28/11/2023;3;Façades;TZN;TNX;DAF;docs écris;A;Fiche technique contact de feuillure.pdf;;;
29/02/2024;3;Façades;TZN;TNX;DAF;docs écris;B;Systeme type 2.pdf;DI;;
06/07/2023;3;Façades;TZN;TNX;DAF;docs écris;A;Systeme type 2.pdf;;;
29/02/2024;3;Façades;TZN;TNX;DAF;docs écris;B;Systeme porte Aluminium.pdf;DI;;
06/07/2023;3;Façades;TZN;TNX;DAF;docs écris;A;Systeme porte Aluminium.pdf;;;
29/02/2024;3;Façades;TZN;TNX;DAF;docs écris;B;Fiche technique Bardage en clins.pdf;DI;;
07/09/2023;3;Façades;TZN;TNX;DAF;docs écris;A;Fiche technique Bardage en clins.pdf;;;
29/02/2024;3;Façades;TZN;TNX;DAF;docs écris;B;Systeme type 3.pdf;DI;;
06/07/2023;3;Façades;TZN;TNX;DAF;docs écris;A;Systeme type 3.pdf;;;
29/02/2024;4;Nacelle de nettoyage;TZN;TNX;DAF;docs écris;B;Fiche technique Panneau EDR.pdf;DI;;
11/12/2023;4;Nacelle de nettoyage;TZN;TNX;DAF;docs écris;A;Fiche technique Panneau EDR.pdf;;;
28/02/2024;3;Façades;TZN;RDC;PRE;docs graphiques;E;Réservations béton RDC.pdf;DI;;
13/07/2023;3;Façades;TZN;RDC;PRE;docs graphiques;A;Réservations béton RDC.pdf;;;
23/02/2024;3;Façades;TZN;R+8;PRE;docs graphiques;E;Réservations béton R+8.pdf;DI;;
28/11/2023;3;Façades;TZN;R+8;PRE;docs graphiques;B;Réservations béton R+8.pdf;;;
30/08/2023;3;Façades;TZN;R+8;PRE;docs graphiques;A;Réservations béton R+8.pdf;;;
21/02/2024;3;Façades;TZN;TNX;NDC;docs écris;C;NDC Statique T2A-T2B - Facade patio.pdf;DI;;
27/12/2023;3;Façades;TZN;TNX;NDC;docs écris;B;NDC Statique T2A-T2B - Facade patio.pdf;;;
15/05/2023;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Statique T2A-T2B - Facade patio.pdf;;;
21/02/2024;4;Nacelle de nettoyage;TZN;TNX;DAF;docs écris;A;Fiche technique limiteteur d'ouverture ouvrants.pdf;DI;;
21/02/2024;3;Façades;TZN;TNX;DAF;docs écris;A;Fiche technique Panneau Sandwich T6.pdf;DI;;
16/02/2024;3;Façades;TZN;TNX;DET;docs graphiques;B;Carnet de portes.pdf;DI;;
06/12/2023;3;Façades;TZN;TNX;DET;docs graphiques;A;Carnet de portes.pdf;;;
16/02/2024;3;Façades;TZN;R+7;PRE;docs graphiques;D;Réservations béton R+7.pdf;DI;;
28/11/2023;3;Façades;TZN;R+7;PRE;docs graphiques;C;Réservations béton R+7.pdf;;;
30/08/2023;3;Façades;TZN;R+7;PRE;docs graphiques;B;Réservations béton R+7.pdf;;;
16/06/2023;3;Façades;TZN;R+7;PRE;docs graphiques;A;Réservations béton R+7.pdf;;;
14/02/2024;3;Façades;TZN;TNX;DET;docs graphiques;D;Carnet de reperage vitrage - Elevation generale Sud et Ouest.pdf;DI;;
11/01/2024;3;Façades;TZN;TNX;DET;docs graphiques;C;Carnet de reperage vitrage - Elevation generale Sud et Ouest.pdf;;;
28/11/2023;3;Façades;TZN;TNX;DET;docs graphiques;B;Carnet de reperage vitrage - Elevation generale Sud et Ouest.pdf;;;
28/08/2023;3;Façades;TZN;TNX;DET;docs graphiques;A;Carnet de reperage vitrage - Elevation generale Sud et Ouest.pdf;;;
14/02/2024;3;Façades;TZN;TNX;DAF;docs écris;A;Fiche technique vitrage GL-25.pdf;DI;;
14/02/2024;3;Façades;TZN;TNX;DAF;docs écris;A;Fiche technique vitrage GL-21.pdf;DI;;
14/02/2024;3;Façades;TZN;TNX;DAF;docs écris;A;Fiche technique vitrage GL-20.pdf;DI;;
09/02/2024;3;Façades;TZN;TNX;NDC;docs écris;B;NDC Thermique T2A-T2B - Facade patio.pdf;DI;;
07/11/2023;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Thermique T2A-T2B - Facade patio.pdf;;;
05/02/2024;3;Façades;TZN;TNX;DAF;docs écris;B;Fiche technique KALZIP.pdf;DI;;
11/12/2023;3;Façades;TZN;TNX;DAF;docs écris;A;Fiche technique KALZIP.pdf;;;
02/02/2024;3;Façades;TZN;TNX;DAF;docs écris;C;SYSTEME T6 RAICO.pdf;DI;;
04/01/2024;3;Façades;TZN;TNX;DAF;docs écris;B;SYSTEME T6 RAICO.pdf;;;
07/09/2023;3;Façades;TZN;TNX;DAF;docs écris;A;SYSTEME T6 RAICO.pdf;;;
02/02/2024;3;Façades;TZN;TNX;MTH;docs écris;A;Facade T1 - Avis de Chantier officiel.pdf;DI;;
02/02/2024;3;Façades;TZN;TNX;FEE;docs écris;A;Facade T1 - Rapport d'essai au vent sur le bardage en terre cuite.pdf;DI;;
02/02/2024;3;Façades;TZN;TNX;FEE;docs écris;A;Façade T1 - Rapport d'essai au choc terre-cuite, garde-corps (vitrage et panneau opaque).pdf;DI;;
02/02/2024;3;Façades;TZN;TNX;FEE;docs écris;A;Façade T1 - Rapport d'essai AEV façade et ouvrant.pdf;DI;;
02/02/2024;4;Nacelle de nettoyage;TZN;TNX;DAF;docs écris;A;Fiche technique poignée portes standard.pdf;DI;;
02/02/2024;4;Nacelle de nettoyage;TZN;TNX;DAF;docs écris;A;Fiche technique Detecteur de choc BECUWE.pdf;DI;;
02/02/2024;3;Façades;TZN;TNX;DAF;docs écris;B;Porte tambour.pdf;DI;;
06/07/2023;3;Façades;TZN;TNX;DAF;docs écris;A;Porte tambour.pdf;;;
10/11/2023;3;Façades;TZN;TNX;NDC;docs écris;D;NDC Statique T6 - Verriere de l'atrium -  Détails et charge d'excentricité.pdf;;;
26/09/2023;3;Façades;TZN;TNX;NDC;docs écris;C;NDC Statique T6 - Verriere de l'atrium -  Détails et charge d'excentricité.pdf;;;
27/07/2023;3;Façades;TZN;TNX;NDC;docs écris;B;NDC Statique T6 - Verriere de l'atrium -  Détails et charge d'excentricité.pdf;;;
16/06/2023;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Statique T6 - Verriere de l'atrium -  Détails et charge d'excentricité.pdf;;;
29/01/2024;3;Façades;TZN;TNX;DAF;docs écris;C;Fiche technique vitrage GL-07.pdf;DI;;
25/08/2023;3;Façades;TZN;TNX;DAF;docs écris;B;Fiche technique vitrage GL-07.pdf;;;
26/06/2023;3;Façades;TZN;TNX;DAF;docs écris;A;Fiche technique vitrage GL-07.pdf;;;
29/01/2024;3;Façades;TZN;TNX;DAF;docs écris;C;Fiche technique vitrage GL-17.pdf;DI;;
07/12/2023;3;Façades;TZN;TNX;DAF;docs écris;B;Fiche technique vitrage GL-17.pdf;;;
26/09/2023;3;Façades;TZN;TNX;DAF;docs écris;A;Fiche technique vitrage GL-17.pdf;;;
29/01/2024;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Acoustique T3 T4 - Flanking.pdf;DI;;
26/01/2024;4;Nacelle de nettoyage;TZN;R+7;PLN;docs graphiques;B;Chemin et implantation des prises électriques  Nacelle R+7.pdf;DI;;
29/06/2023;4;Nacelle de nettoyage;TZN;R+7;PLN;docs graphiques;A;Chemin et implantation des prises électriques  Nacelle R+7.pdf;;;
26/01/2024;3;Façades;TZN;R+1;PRE;docs graphiques;A;Réservations béton R+1.pdf;DI;;
26/01/2024;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Statique T3 - Facade socle - Attique roof top - Facade hall.pdf;DI;;
09/11/2023;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Thermique T3B - Attique.pdf;;;
26/01/2024;3;Façades;TZN;TNX;NDC;docs écris;B;NDC Thermique T3 - Facade socle - Attique roof top - Facade hall.pdf;DI;;
09/11/2023;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Thermique T3 - Facade socle - Attique roof top - Facade hall.pdf;;;
28/11/2023;3;Façades;TZN;TNX;NDC;docs écris;C;NDC Statique T6 - Verriere de l'atrium.pdf;;;
28/09/2023;3;Façades;TZN;TNX;NDC;docs écris;B;NDC Statique T6 - Verriere de l'atrium.pdf;;;
24/08/2023;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Statique T6 - Verriere de l'atrium.pdf;;;
07/12/2023;3;Façades;TZN;TNX;NDC;docs écris;B;NDC Statique T1A-T1B - Pattes en appui.pdf;;;
20/09/2023;3;Façades;TZN;TNX;NDC;docs écris;A;NDC Statique T1A-T1B - Pattes en appui.pdf;;;
19/01/2024;3;Façades;TZN;TNX;DAF;docs écris;B;Laquage Bronze 1.pdf;DI;;
07/07/2023;3;Façades;TZN;TNX;DAF;docs écris;A;Laquage Bronze 1.pdf;;;
16/01/2024;3;Façades;TZN;R+2;PRE;docs graphiques;H;Réservations béton R+2.pdf;DI;;
28/11/2023;3;Façades;TZN;R+2;PRE;docs graphiques;G;Réservations béton R+2.pdf;;;
26/09/2023;3;Façades;TZN;R+2;PRE;docs graphiques;D;Réservations béton R+2.pdf;;;
11/08/2023;3;Façades;TZN;R+2;PRE;docs graphiques;C;Réservations béton R+2.pdf;;;
22/06/2023;3;Façades;TZN;R+2;PRE;docs graphiques;B;Réservations béton R+2.pdf;;;
16/01/2024;3;Façades;TZN;R+4;PRE;docs graphiques;E;Réservations béton R+4.pdf;DI;;
28/11/2023;3;Façades;TZN;R+4;PRE;docs graphiques;D;Réservations béton R+4.pdf;;;
11/08/2023;3;Façades;TZN;R+4;PRE;docs graphiques;C;Réservations béton R+4.pdf;;;
22/06/2023;3;Façades;TZN;R+4;PRE;docs graphiques;B;Réservations béton R+4.pdf;;;
16/01/2024;3;Façades;TZN;R+5;PRE;docs graphiques;E;Réservations béton R+5.pdf;DI;;
28/11/2023;3;Façades;TZN;R+5;PRE;docs graphiques;D;Réservations béton R+5.pdf;;;
11/08/2023;3;Façades;TZN;R+5;PRE;docs graphiques;C;Réservations béton R+5.pdf;;;
22/06/2023;3;Façades;TZN;R+5;PRE;docs graphiques;B;Réservations béton R+5.pdf;;;
16/01/2024;3;Façades;TZN;R+6;PRE;docs graphiques;E;Réservations béton R+6.pdf;DI;;
28/11/2023;3;Façades;TZN;R+6;PRE;docs graphiques;D;Réservations béton R+6.pdf;;;
11/08/2023;3;Façades;TZN;R+6;PRE;docs graphiques;C;Réservations béton R+6.pdf;;;
22/06/2023;3;Façades;TZN;R+6;PRE;docs graphiques;B;Réservations béton R+6.pdf;;;
16/01/2024;4;Nacelle de nettoyage;TZN;TNX;NDC;docs écris;C; DDC.pdf;DI;;
29/06/2023;4;Nacelle de nettoyage;TZN;TNX;NDC;docs écris;A; DDC.pdf;;;
16/01/2024;4;Nacelle de nettoyage;TZN;R+6;PLN;docs graphiques;B;Plan, détail et DDC Nacelle R+6.pdf;DI;;
29/06/2023;4;Nacelle de nettoyage;TZN;R+6;PLN;docs graphiques;A;Plan, détail et DDC Nacelle R+6.pdf;;;
12/01/2024;3;Façades;TZN;TNX;NDC;docs écris;B;NDC Thermique T6 - Verriere de l'atrium.pdf;DI;;
